Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,13.399999999999999,160.80,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
F1-Kinesis,US East (N. Virginia),,Amazon Kinesis Data Streams,0,13.08,156.96,USD,,"Duration of data retention (1 days), Baseline number of records (58 per second), Peak number of records (70 per second), Number of Consumer Applications (1)"
F1-Kinesis,US East (N. Virginia),data firehose,Amazon Data firehose,0,0.02,0.24,USD,,"Source Type (Direct PUT or Kinesis Data Stream), Dynamic Partitioning (Add On) (Enabled), Data records units (exact number), Record size (5 KB), Data format conversion (optional) (Disabled), Number of records for data ingestion (1.59 per minute), Average size objects delivered (64 MB), JQ Processing (optional) (Disabled), Average ratio of data processed to VPC vs data ingested (1.3)"
F1-Kinesis,US East (N. Virginia),,AWS Lambda,0,0,0.00,USD,,"Architecture (x86), Architecture (x86), Invoke Mode (Buffered), Number of requests (50 per day), Amount of ephemeral storage allocated (512 MB)"
F1-Kinesis,US East (N. Virginia),,AWS Glue ETL jobs and interactive sessions,0,0.12,1.44,USD,,"Number of DPUs for Apache Spark job (2), Number of DPUs for Python Shell job (0.0625)"
F1-Kinesis,US East (N. Virginia),,AWS Glue Data Catalog storage requests,0,0.01,0.12,USD,,"Number of Objects stored (0.001131 million per month), Number of access requests (0.0001 million per month)"
F1-Kinesis,US East (N. Virginia),,AWS Glue Crawlers,0,0.15,1.80,USD,,Number of crawlers (2)
F1-Kinesis,US East (N. Virginia),,S3 Standard,0,0.02,0.24,USD,,"S3 Standard storage (0.0184 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (3000), GET, SELECT, and all other requests from S3 Standard (4000)"
F1-Kinesis,US East (N. Virginia),,Amazon Athena,0,0,0.00,USD,,"Total number of queries (10 per month), Amount of data scanned per query (0.02 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
